"AAPG Bulletin","AAPG Bull."
"Journal of Environmental Science and Health, Part A: Environmental Science and Engineering","J. Environ. Sci. Health A Environ. Sci. Health Part A: Environ. Sci. Eng"
"Journal of Environmental Science and Health, Part A: Environmental Science and Engineering & Toxic and Hazardous Substance Control","J. Environ. Sci. Health. A: Environ. Sci. Eng.Toxic Hazard. Subst. Control"
"Journal of Environmental Science and Health, Part A: Toxic/Hazardous Substances & Environmental Engineering","J. Environ. Sci. Health A: Toxic/Hazard. Subst. Environ. Eng."
"Journal of Environmental Science and Health, Part B Pesticides","J. Environ. Sci. Health B"
"Journal of Environmental Science and Health, Part B: Pesticides, Food Contaminants, and Agricultural Wastes","J. Environ. Sci. Health B"
"Journal of Environmental Science and Health, Part C: Environmental Carcinogenesis & Ecotoxicology Reviews","J. Environ. Sci. Health C: Environ. Carcinog. Ecotoxicol. Rev."
"Journal of Environmental Science and Health, Part C: Environmental Carcinogenesis Reviews","J. Environ. Sci. Health., Part C Environ. Carcinog. Rev."
"Journal of Environmental Science and Health, Part C: Environmental Health Sciences","J. Environ. Sci. Health., Part C Environ. Health Sci."
"Journal of Environmental Science and Technology","J. Environ. Sci. Technol."
"Journal of Environmental and Engineering Geophysics","J. Environ. Eng. Geophys."
"Journal of Enzyme Inhibition","J. Enzyme Inhib."
"Journal of Enzyme Inhibition and Medicinal Chemistry","J. Enzyme Inhib. Med. Chem."
"Journal of Essential Oil Research","J. Essent. Oil Res."
"Journal of Essential Oil-Bearing Plants","J. Essent. Oil Bear. Plants"
"Journal of Ethnobiology and Ethnomedicine","J. Ethnobiol. Ethnomed."
"Journal of Ethnopharmacology","J. Ethnopharmacol."
"Journal of Evolutionary Biochemistry and Physiology","J. Evol. Biochem. Physiol."
"Journal of Experimental & Theoretical Artificial Intelligence","J. Exp. Theor. Artif. Intell."
"Journal of Experimental Biology","J. Exp. Biol."
"Journal of Experimental Botany","J. Exp. Bot."
"Journal of Experimental Marine Biology and Ecology","J. Exp. Mar. Biol. Ecol."
"Journal of Experimental Nanoscience","J. Exp. Nanosci."
"Journal of Experimental and Theoretical Physics","J. Exp. Theor. Phys."
"Journal of Exposure Analysis and Environment Epidemiology","J. Exposure Anal. Environ. Epidemiol."
"Journal of Exposure Science & Environmental Epidemiology","J. Exposure Sci. Environ. Epidemiol."
"Journal of Failure Analysis and Prevention","J. Fail. Anal. Prev."
"Journal of Fermentation Technology","J. Ferment. Technol."
"Journal of Fermentation and Bioengineering","J. Ferment. Bioeng."
"Journal of Field Robotics","J. Field Rob."
"Journal of Fire Protection Engineering","J. Fire. Prot. Eng."
"Journal of Fire Sciences","J. Fire Sci."
"Journal of Fisheries and Aquatic Science","J. Fish. Aquat. Sci."
"Journal of Flood Risk Management","J. Flood Risk Manage."
"Journal of Fluid Mechanics","J. Fluid Mech."
"Journal of Fluids Engineering","J. Fluids Eng."
"Journal of Fluids and Structures","J. Fluids Struct."
"Journal of Fluorine Chemistry","J. Fluorine Chem."
"Journal of Food Biochemistry","J. Food Biochem."
"Journal of Food Composition and Analysis","J. Food Compos. Anal."
"Journal of Food Engineering","J. Food Eng."
"Journal of Food Lipids","J. Food Lipids"
"Journal of Food Process Engineering","J. Food Process Eng."
"Journal of Food Processing and Preservation","J. Food Process. Preserv."
"Journal of Food Protection","J. Food Prot."
"Journal of Food Quality","J. Food Qual."
"Journal of Food Safety","J. Food Saf."
"Journal of Food Science","J. Food Sci."
"Journal of Food Science Education","J. Food Sci. Educ."
"Journal of Food Science and Technology","J. Food Sci. Technol."
"Journal of Food Technology","J. Food Technol."
"Journal of Food, Agriculture and Environment","J. Food Agric. Environ."
"Journal of Foramineferal Research","J. Foramineferal Res."
"Journal of Forensic Medicine","J. Forensic Med."
"Journal of Forensic Medicine and Toxicology","J. Forensic Med. Toxicol."
"Journal of Forensic Science","J. Forensic Sci."
"Journal of Friction and Wear","J. Frict. Wear"
"Journal of Fuel Cell Science and Technology","J. Fuel Cell Sci. Technol."
"Journal of Functional Foods","J. Funct. Foods"
"Journal of Functional Programming","J. Funct. Program."
"Journal of Fusion Energy","J. Fusion Energy"
"Journal of Gemmology","J. Gemmol."
"Journal of General Microbiology","J. Gen. Microbiol."
"Journal of General Physiology","J. Gen. Physiol."
"Journal of General Virology","J. Gen. Virol."
"Journal of General and Applied Microbiology","J. Gen. Appl. Microbiol."
"Journal of Geochemical Exploration","J. Geochem. Explor."
"Journal of Geodesy","J. Geod."
"Journal of Geodynamics","J. Geodyn."
"Journal of Geographical Sciences","J. Geog. Sci."
"Journal of Geological Education","J. Geol. Educ."
"Journal of Geology","J. Geol."
"Journal of Geomagnetism and Geoelectricity","J. Geomagn. Geoelec."
"Journal of Geometry and Physics","J. Geom. Phys."
"Journal of Geophysical Research","J. Geophys. Res."
"Journal of Geophysical Research, A: Space Physics","J. Geophys. Res. A: Space Phys."
"Journal of Geophysical Research, B: Solid Earth","J. Geophys. Res. B: Solid Earth"
"Journal of Geophysical Research, Biogeosciences","J. Geophys. Res. Biogeosci."
"Journal of Geophysical Research, C: Oceans","J. Geophys. Res. C: Oceans"
"Journal of Geophysical Research, D: Atmospheres","J. Geophys. Res. D: Atmos."
"Journal of Geophysical Research, E: Planets","J. Geophys. Res. E: Planets"
"Journal of Geophysical Research, Earth Surface","J. Geophys. Res. Earth Surf."
"Journal of Geophysical Research, F: Earth Surface","J. Geophys. Res. F: Earth Surf."
"Journal of Geophysical Research, G: Biogeosciences","J. Geophys. Res. G: Biogeosci."
"Journal of Geophysical Research, Oceans","J. Geophys. Res. Oceans"
"Journal of Geophysical Research, Planets","J. Geophys. Res. Planets"
"Journal of Geophysical Research, Solid Earth","J. Geophys. Res. Solid Earth"
"Journal of Geophysical Research, Space Physics","J. Geophys. Res. Space Phys."
"Journal of Geophysical Research, [Atmospheres]","J. Geophys. Res. [Atmos.]"
"Journal of Geophysics","J. Geophys."
"Journal of Geophysics and Engineering","J. Geophys. Eng."
"Journal of Geoscience Education","J. Geosci. Educ."
"Journal of Geosciences","J. Geosci."
"Journal of Geotechnical and Geoenvironmental Engineering","J. Geotech. Geoenviron. Eng."
"Journal of Global Optimization","J. Global Optim."
"Journal of Great Lakes Research","J. Great Lakes Res."
"Journal of Hazardous materials","J. Hazard. Mater."
"Journal of Heat Transfer","J. Heat Transfer"
"Journal of Heat Treating","J. Heat. Treat."
"Journal of Helminthology","J. Helminthol."
"Journal of Herbs Spices & Medicinal Plants","J. Herbs Spices Med Plants"
"Journal of Heterocyclic Chemistry","J. Heterocycl. Chem."
"Journal of High Energy Physics","J. High Energy Phys."
"Journal of High Resolution Chromatography","J. High. Resolut. Chromatogr."
"Journal of Histochemistry and Cytochemistry","J. Histochem. Cytochem."
"Journal of Housing and the Built Environment","J. Hous. Built Environ."
"Journal of Hydraulic Engineering","J. Hydraul. Eng."
"Journal of Hydro-environment Research","J. Hydro-environ. Res."
"Journal of Hydrodynamics, Series B","J. Hydrodyn. Ser. B"
"Journal of Hydroinformatics","J. Hydroinf."
"Journal of Hydrologic Engineering","J. Hydrol. Eng."
"Journal of Hydrology","J. Hydrol."
"Journal of Hypertension","J. Hypertens."
"Journal of Imaging Science and Technology","J. Imaging Sci. Technol."
"Journal of Immunoassay and Immunochemistry","J. Immunoassay Immunochem."
"Journal of Inclusion Phenomena and Macrocyclic Chemistry","J. Inclusion Phenom.Macrocyclic Chem."
"Journal of Inclusion Phenomena and Molecular Recognition in Chemistry","J. Inclusion Phenom. Mol. Recognit. Chem."
"Journal of Indian Council of Chemists","J. Indian Counc. Chem."
"Journal of Industrial Ecology","J. Ind. Ecol."
"Journal of Industrial Microbiology","J. Ind. Microbiol."
"Journal of Industrial Microbiology and Biotechnology","J. Ind. Microbiol. Biotechnol."
"Journal of Industrial Pollution Control","J. Ind. Pollut. Control"
"Journal of Industrial Textiles","J. Ind. Text."
"Journal of Industrial and Engineering Chemistry","J. Ind. Eng. Chem."
"Journal of Infrared and Millimeter Waves","J. Infrared Millimeter Waves"
"Journal of Infrastructure Systems","J. Infrastruct. Syst."
"Journal of Inorganic Biochemistry","J. Inorg. Biochem."
"Journal of Inorganic and Nuclear Chemistry","J. Inorg. Nucl. Chem."
"Journal of Inorganic and Organometallic Polymers","J. Inorg. Organomet. Polym."
"Journal of Inorganic and Organometallic Polymers and Materials","J. Inorg. Organomet. Polym. Mater."
"Journal of Insect Physiology","J. Insect Physiol."
"Journal of Institute of Chemists (India)","J. Inst. Chem."
"Journal of Instrumentation","J. Instrum."
"Journal of Integrated Design and Process Science","J. Integr. Des. Process Sci."
"Journal of Integrative Environmental Sciences","J. Integr. Environ. Sci."
"Journal of Integrative Plant Biology","J. Integr. Plant Biol."
"Journal of Intelligent Material Systems and Structures","J. Intell. Mater. Syst. Struct."
"Journal of Intelligent Tranportation Systems: Technology, Planning, and Operations","J. Intell. Transp. Syst. Technol. Plann. Oper."
"Journal of Intelligent and Robotic Systems","J. Intell. Rob. Syst."
"Journal of Interferon Research","J. Interferon Res."
"Journal of Interferon and Cytokine Research","J. Interferon Cytokine Res."
"Journal of Iron and Steel Research International","J. Iron. Steel Res. Int."
"Journal of Irrigation and Drainage Engineering","J. Irrig. Drain. Eng."
"Journal of Labelled Compounds and Radiopharmaceuticals","J. Labelled Compd. Radiopharm."
"Journal of Laboratory and Clinical Medicine","J. Lab. Clin. Med."
"Journal of Laser Applications","J. Laser Appl."
"Journal of Laser Micro/nanoengineering","J. Laser Micro/Nanoeng."
"Journal of Leather and Chemical Technology","J. Leather Chem. Technol."
"Journal of Less-Common Metals","J. Less-Common Met."
"Journal of Leukocyte Biology","J. Leukocyte Biol."
"Journal of Light & Visual Environment","J. Light Visual Environ."
"Journal of Light Metals","J. Light Met."
"Journal of Lightwave Technology","J. Lightwave Technol."
"Journal of Lipid Mediators","J. Lipid Mediators"
"Journal of Lipid Mediators and Cell Signalling","J. Lipid Mediat. Cell Signal."
"Journal of Lipid Research","J. Lipid Res."
"Journal of Liposome Research","J. Liposome Res."
"Journal of Liquid Chromatography","J. Liq. Chromatogr."
"Journal of Liquid Chromatography and Related Technologies","J. Liq. Chromatogr. Related Technol."
"Journal of Loss Prevention in the Process Industries","J. Loss Prev. Process Ind."
"Journal of Low Temperature Physics","J. Low Temp. Phys."
"Journal of Lubrication Technology","J. Lubr. Technol."
"Journal of Luminescence","J. Lumin."
"Journal of MMIJ","J. MMIJ"
"Journal of Macromolecular Science - Physics","J. Macromol. Sci., Phys."
"Journal of Macromolecular Science - Reviews in Macromolecular Chemistry and Physics","J. Macromol. Sci., Rev. Macromol. Chem. Phys."
"Journal of Macromolecular Science Polymer Reviews","J. Macromol. Sci., Polym. Rev."
"Journal of Macromolecular Science Pure and Applied Chemistry","J. Macromol. Sci., Pure Appl. Chem."
"Journal of Macromolecular Science, Part A Pure and Applied Chemistry","J. Macromol. Sci. A Pure Appl. Chem."
"Journal of Macromolecular Science, Part B Physics","J. Macromol. Sci. B Phys."
"Journal of Magnetic Resonance","J. Magn. Reson."
"Journal of Magnetic Resonance Imaging","J. Magn. Reson. Imaging"
"Journal of Magnetic Resonance Series A","J. Magn. Reson. A"
"Journal of Magnetic Resonance Series B","J. Magn. Reson. B"
"Journal of Magnetism and Magnetic Materials","J. Magn. Magn. Mater."
"Journal of Management in Engineering","J. Manage. Eng."
"Journal of Manufacturing Processes","J. Manuf. Processes"
"Journal of Manufacturing Science and Engineering","J. Manuf. Sci. Eng."
"Journal of Manufacturing Systems","J. Manuf. Syst."
"Journal of Marine Biotechnology","J. Mar. Biotechnol."
"Journal of Marine Research","J. Mar. Res."
"Journal of Marine Science and Application","J. Mar. Sci. Appl."
"Journal of Marine Science and Technology","J. Mar. Sci. Technol."
"Journal of Marine Systems","J. Mar. Syst."
"Journal of Mass Spectrometry","J. Mass Spectrom."
"Journal of Material Cycles and Waste Management","J. Mater. Cycles Waste Manage."
"Journal of Materials Chemistry","J. Mater. Chem."
"Journal of Materials Education","J. Mater. Educ."
"Journal of Materials Engineering","J. Mater. Eng."
"Journal of Materials Engineering and Performance","J. Mater. Eng. Perform."
"Journal of Materials Processing Technology","J. Mater. Process. Technol."
"Journal of Materials Processing and Manufacturing Science","J. Mater. Process. Manuf. Sci."
"Journal of Materials Research","J. Mater. Res."
"Journal of Materials Science - Materials in Electronics","J. Mater. Sci. - Mater. Electron."
"Journal of Materials Science Letters","J. Mater. Sci. Lett."
"Journal of Materials Science Materials in Medicine","J. Mater. Sci. - Mater. Med."
"Journal of Materials Science and Technology","J. Mater. Sci. Technol."
"Journal of Materials Shaping Technology","J. Mater. Shaping Technol."
"Journal of Materials Synthesis and Processing","J. Mater. Synth. Process."
"Journal of Materials for Energy Systems","J. Mater. Energy Syst."
"Journal of Materials in Civil Engineering","J. Mater. Civ. Eng."
"Journal of Mathematical Chemistry","J. Math. Chem."
"Journal of Mathematical Fluid Mechanics","J. Math. Fluid Mech."
"Journal of Mathematics and Physics","J. Math. Phys."
"Journal of Mechanical Design","J. Mech. Des."
"Journal of Mechanical Science and Technology","J. Mech. Sci. Technol."
"Journal of Medical Devices","J. Med. Devices"
"Journal of Medical Engineering & Technology","J. Med. Eng. Technol."
"Journal of Medical Entomology","J. Med. Entomol."
"Journal of Medical Microbiology","J. Med. Microbiol."
"Journal of Medical Toxicology","J. Med. Toxicol."
"Journal of Medicinal Chemistry","J. Med. Chem."
"Journal of Medicinal Food","J. Med. Food"
"Journal of Medicinal and Pharmaceutical Chemistry","J. Med. Pharm. Chem."
"Journal of Membrane Biology","J. Membr. Biol."
"Journal of Membrane Science","J. Membr. Sci."
"Journal of Metallurg and Materials Science","J. Metall. Mater. Sci."
"Journal of Metamorphic Geology","J. Metamorph. Geol."
"Journal of Metastable and Nanocrystalline Materials","J. Metastable Nanocryst. Mater."
"Journal of Micro - Nano Mechatronics","J. Micro - Nano Mechatron."
"Journal of Micro/Nanolithography, MEMS and MOEMS","J. Micro/Nanolithogr. MEMS MOEMS"
