"""Brevia""","Brevia (Rome)"
"Experimental parasitology","Exp Parasitol"
"Experimental pathology","Exp Pathol"
"Experimental physiology","Exp Physiol"
"Experimental psychology","Exp Psychol"
"Experimentelle Medizin, Pathologie und Klinik","Exp Med Pathol Klin"
"Experimentelle Pathologie","Exp Pathol (Jena)"
"Expert opinion on biological therapy","Expert Opin Biol Ther"
"Expert opinion on drug delivery","Expert Opin Drug Deliv"
"Expert opinion on drug metabolism & toxicology","Expert Opin Drug Metab Toxicol"
"Expert opinion on drug safety","Expert Opin Drug Saf"
"Expert opinion on emerging drugs","Expert Opin Emerg Drugs"
"Expert opinion on investigational drugs","Expert Opin Investig Drugs"
"Expert opinion on pharmacotherapy","Expert Opin Pharmacother"
"Expert opinion on therapeutic targets","Expert Opin Ther Targets"
"Expert review of anti-infective therapy","Expert Rev Anti Infect Ther"
"Expert review of anticancer therapy","Expert Rev Anticancer Ther"
"Expert review of cardiovascular therapy","Expert Rev Cardiovasc Ther"
"Expert review of medical devices","Expert Rev Med Devices"
"Expert review of molecular diagnostics","Expert Rev Mol Diagn"
"Expert review of neurotherapeutics","Expert Rev Neurother"
"Expert review of ophthalmology","Expert Rev Ophthalmol"
"Expert review of proteomics","Expert Rev Proteomics"
"Expert review of vaccines","Expert Rev Vaccines"
"Expert reviews in molecular medicine","Expert Rev Mol Med"
"Explorations in Renaissance culture","Explor Renaiss Cult"
"Explorations in economic history","Explor Econ Hist"
"Explorations in knowledge","Explor Knowl"
"Explorations pyreneennes : bulletin trimestriel de la Societe Ramond","Bull Soc Ramond"
"Explore (New York, N.Y.)","Explore (NY)"
"Explorer","Explorer (Hayward)"
"Explorers journal","Explor J"
"Exposes annuels de biochimie medicale","Expos Annu Biochim Med"
"Extremophiles : life under extreme conditions","Extremophiles"
"Eye & contact lens","Eye Contact Lens"
"Eye (London, England)","Eye"
"Eye, ear, nose & throat monthly","Eye Ear Nose Throat Mon"
"F.A.S. professional bulletin","FAS Prof Bull"
"F.A.S. public interest report","FAS Public Interest Rep"
"F.N.I.B.; organe de la Federation nationale des infirmier(e)s belges","FNIB"
"FAO food and nutrition paper","FAO Food Nutr Pap"
"FAO food and nutrition series","FAO Food Nutr Ser"
"FAO nutrition meetings report series","FAO Nutr Meet Rep Ser"
"FAO nutritional studies","FAO Nutr Stud"
"FAR, The French-American review","Fr Am Rev"
"FDA consumer","FDA Consum"
"FDA drug bulletin","FDA Drug Bull"
"FDA medical bulletin : important information for health professionals from the U.S. Food & Drug Administration","FDA Med Bull"
"FDC reports. Drugs and cosmetics","FDC Rep Drugs Cosmet"
"FDI world","FDI World"
"FEBS letters","FEBS Lett"
"FEMNET news","FEMNET News"
"FEMS immunology and medical microbiology","FEMS Immunol Med Microbiol"
"FEMS microbiology ecology","FEMS Microbiol Ecol"
"FEMS microbiology immunology","FEMS Microbiol Immunol"
"FEMS microbiology letters","FEMS Microbiol Lett"
"FEMS microbiology reviews","FEMS Microbiol Rev"
"FEMS yeast research","FEMS Yeast Res"
"FNIB info","FNIB Info"
"FPRC [reports]. Great Britain. Flying Personnel Research Committee","Fprc"
"Fa yi xue za zhi","Fa Yi Xue Za Zhi"
"Facial orthopedics and temporomandibular arthrology","Facial Orthop Temporomandibular Arthrol"
"Facial plastic surgery : FPS","Facial Plast Surg"
"Facial plastic surgery clinics of North America","Facial Plast Surg Clin North Am"
"Fact sheet (Center for Home Care Policy and Research (U.S.))","Fact Sheet (Cent Home Care Policy Res)"
"Fact sheets on Sweden","Fact Sheets Swed"
"Factor odontologico","Factor Odontol"
"Factotum","Factotum"
"Facts about infant feeding","Facts Infant Feed"
"Faculty notes (New Orleans, La.)","Fac Notes (New Orleans La)"
"Fag tidsskriftet sykepleien","Fag Tidsskr Sykepleien"
"Fagopyrum : novosti o ajdi","buckwheat newsletter|Fagopyrum"
"Faith and philosophy : journal of the Society of Christian Philosophers","Faith Philos"
"Faits et tendances","Fait Tend"
"Familial cancer","Fam Cancer"
"Families in society : the journal of contemporary human services","Fam Soc"
"Families, systems & health : the journal of collaborative family healthcare","Fam Syst Health"
"Famille et developpement","Fam Dev"
"Family & community health","Fam Community Health"
"Family Urology","Fam Urol"
"Family and conciliation courts review","Fam Concil Courts Rev"
"Family and consumer sciences research journal / American Association of Family and Consumer Sciences","Fam Consum Sci Res J"
"Family circle (Mount Morris, Ill.)","Fam Circle"
"Family economics review","Fam Econ Rev"
"Family health","Fam Health"
"Family law (Chichester)","Family Law"
"Family law quarterly","Fam Law Q"
"Family law reports","Fam Law Rep"
"Family law review","Fam Law Rev"
"Family life educator","Fam Life Educ"
"Family life matters","Fam Life Matters"
"Family matters (Melbourne, Vic.)","Fam Matters"
"Family medicine","Fam Med"
"Family planning","Fam Plann"
"Family planning digest","Fam Plann Dig"
"Family planning information service","Fam Plann Inf Serv"
"Family planning perspectives","Fam Plann Perspect"
"Family planning quarterly","Fam Plann Q"
"Family planning resume","Fam Plann Resume"
"Family planning today","Fam Plann Today"
"Family planning world","Family Plan World"
"Family planning/population reporter; a review of State laws and policies","Fam Plann Popul Rep"
"Family practice","Fam Pract"
"Family practice management","Fam Pract Manag"
"Family practice news","Fam Pract News"
"Family process","Fam Process"
"Family relations","Fam Relat"
"Family systems medicine","Fam Syst Med"
"Family therapy","Fam Ther"
"Famplanco news","Famplanco News"
"Far Eastern affairs","Far East Aff"
"Far Eastern economic review","Far East Econ Rev"
"Faraday discussions","Faraday Discuss"
"Faraday discussions of the Chemical Society","Faraday Discuss Chem Soc"
"Farmaceuticky obzor","Farm Obz"
"Farmaceutisk tidende","Farm Tid"
"Farmaceutski glasnik","Farm Glas"
"Farmacevtski vestnik","Farm Vestn"
"Farmacia clinica","Farm Clin"
"Farmacia hospitalaria : organo oficial de expresion cientifica de la Sociedad Espanola de Farmacia Hospitalaria","Farm Hosp"
"Farmacia nueva","Farm Nueva"
"Farmacihistoriska sallskapets degrees arsskrift","Farmacihist Sallsk Ars"
"Farmacja polska","Farm Pol"
"Farmaco (Societa chimica italiana : 1989)","Farmaco"
"Farmacognosia; anales del Instituto Jose Celestino Mutis","Farmacognosia"
"Farmacoterapia actual","Farmacoter Actual"
"Farmakologiia i toksikologiia","Farmakol Toksikol"
"Farmakoterapi","Farmakoterapi"
"Farmatsevtychnyi zhurnal","Farm Zh"
"Farmatsiia","Farmatsiia (Sofia)"
"Fasett","Fasett"
"Fauchard","Fauchard"
"Faulkner & Gray's medicine & health","Faulkner Grays Med Health"
"Federal bar journal : the official publication of the Federal Bar Association","Fed Bar J"
"Federal personnel manual system. FPM bulletin / Office of Personnel Management. United States. Office of Personnel Management","FPM Bull"
"Federal probation","Fed Probat"
"Federal register","Fed Regist"
"Federal rules decisions","Fed Rules Decis"
"Federal supplement","Fed Suppl"
"Federation bulletin / Federation of State Medical Boards of the United States","Fed Bull"
"Federation of Insurance & Corporate Counsel quarterly","Fed Insur Corp Couns Q"
"Federation of Insurance Counsel quarterly","Fed Insur Couns Q"
"Federation of operative dentistry","Fed Oper Dent"
"Federation proceedings","Fed Proc"
"Federation proceedings. Translation supplement; selected translations from medical-related science","Fed Proc Transl Suppl"
"Feedback : ICOMP newsletter on management of population programmes","Feedback"
"Fel'dsher i akusherka","Feldsher Akush"
"Feline practice","Feline Pract"
"Female health topics & diagnostic reporter","Female Health Top Diagn Report"
"Femina : revista da Federacao Brasileira das Sociedades de Ginecologia e Obstetricia","Femina"
"Feminism & psychology","Fem Psychol"
"Feminist economics","Fem Econ"
"Feminist issues","Fem Issues"
"Feminist review","Fem Rev"
"Feminist studies : FS","Fem Stud"
"Fennia","Fennia"
"Fertilite, contraception, sexualite","Fertil Contracept Sex"
"Fertilite, orthogenie","Fertil Orthog"
"Fertility and contraception","Fertil Contracept"
"Fertility and sterility","Fertil Steril"
"Fertility determinants research notes / The Population Council","Fertil Determ Res Notes"
"Fetal and pediatric pathology","Fetal Pediatr Pathol"
"Fetal diagnosis and therapy","Fetal Diagn Ther"
"Fetal therapy","Fetal Ther"
"Fett Wissenschaft Technologie : Organ der Deutschen Gesellschaft fur Fettwissenschaft e.V.","Fat science technology|Fett Wiss. Technol."
"Feuillets de biologie","Feuill Biol"
"Feuillets du praticien","Feuill Prat"
"Fibrinolysis","Fibrinolysis"
"Fides et historia : official publication of the Conference on Faith and History","Fides Et Hist"
"Field staff reports / UFSI","Field Staff Rep"
"Fieldstaff reports. Asia. Southeast Asia series","Fieldstaff Rep"
"Fieldstaff reports. Southeast Asia series","Fieldstaff Rep"
"Fieldstaff reports. West Europe series","Fieldstaff Rep West Eur Ser"
"Fiji medical journal","Fiji Med J"
"Filaria journal","Filaria J"
"Film History","Film Hist"
"Finance & development","Finance Dev"
"Financial times (North American edition)","Financ Times"
"Finanz-archiv : Zeitschrift fur das Gesamte Finanzwesen","Finanzarchiv"
"Findings brief : health care financing & organization","Find Brief"
"Finisterra","Finisterra"
"Finska lakaresallskapets handlingar","Fin Lakaresallsk Handl"
"Fire journal (Boston, Mass.)","Fire J"
"Fire technology","Fire Technol"
"First things (New York, N.Y.)","First Things"
"Fish & shellfish immunology","Fish Shellfish Immunol"
"Fisheries research","Fish Res"
"Fission product inhalation project [technical progress report]. Lovelace Foundation for Medical Education and Research","Fission Prod Inhal Proj"
"Fitoterapia","Fitoterapia"
"Fiziologia normala si patologica","Fiziol Norm Patol"
"Fiziologicheskii zhurnal","Fiziol Zh"
"Fiziologicheskii zhurnal SSSR imeni I. M. Sechenova","Fiziol Zh SSSR Im I M Sechenova"
"Fiziologicheskii zhurnal imeni I.M. Sechenova / Rossiiskaia akademiia nauk","Fiziol Zh Im I M Sechenova"
"Fiziologiia cheloveka","Fiziol Cheloveka"
"Fiziolohichnyi zhurnal","Fiziol Zh"
"Fiziolohichnyi zhurnal (Kiev, Ukraine : 1994)","Fiziol Zh"
"Flambeau (Bakwanga, Congo)","Flambeau"
"Flash-Informations","Flash Inf"
"Flight safety digest (Arlington, Va. : 1988)","Flight Saf Dig"
"Flinders journal of history and politics","Flinders J Hist Polit"
"Flintknappers' exchange","Flintknappers Exch"
"Florida State University law review. Florida State University. College of Law","Fla State Univ Law Rev"
"Florida dental journal","Fla Dent J"
"Florida journal of international law","Fla J Int Law"
"Florida law review","Fla Law Rev"
"Florida supplement : decisions of lower courts of record and state commissions","Fla Suppl"
"Florilegium","Florilegium"
"Flying safety (Washington, D.C. : 1981)","Flying Saf"
"Fo. Facultad De Odontologia","FO"
"Focus (San Francisco, Calif.)","Focus"
"Focus MDA : the official publication of the Missouri Dental Association","Focus MDA"
"Focus On Aacn","Focus AACN"
"Focus on Ohio dentistry","Focus Ohio Dent"
"Focus on autism and other developmental disabilities","Focus Autism Other Dev Disabl"
"Focus on critical care / American Association of Critical-Care Nurses","Focus Crit Care"
"Focus on gender","Focus Gend"
"Focus: technical cooperation. Focus. Cooperacion tecnica. Focus. Cooperation technique","Focus Tech Coop"
"Fogorvosi szemle","Fogorv Sz"
"Foi et langage","Foi Lang"
"Folding & design","Fold Des"
"Foldrajzi ertesito","Foldr Ert"
"Folha medica","Folha Med"
"Folia allergologica","Folia Allergol (Roma)"
"Folia biologica","Folia Biol (Praha)"
"Folia cardiologica","Folia Cardiol"
"Folia clinica et biologica","Folia Clin Biol (Sao Paulo)"
"Folia clinica internacional","Folia Clin Int (Barc)"
"Folia endocrinologica","Folia Endocrinol"
"Folia endocrinologica; mensile di incretologia e incretoterapia","Folia Endocrinol Mens Incretologia Incretoterapia"
"Folia geographica. Series geographica-oeconomica / Polska Akademia Nauk, Oddzial w Krakowie, Komisja Nauk Geograficznych","Folia Geogr Ser Geogr Oecon"
"Folia haematologica (Leipzig, Germany : 1928)","Folia Haematol Int Mag Klin Morphol Blutforsch"
"Folia haematologica; internationales Magazin fur Blutforschung","Folia Haematol (Frankf)"
"Folia hereditaria et pathologica","Folia Hered Pathol (Milano)"
"Folia histochemica et cytobiologica / Polish Academy of Sciences, Polish Histochemical and Cytochemical Society","Folia Histochem Cytobiol"
"Folia histochemica et cytochemica","Folia Histochem Cytochem (Krakow)"
"Folia humanistica","Folia Humanist"
"Folia medica","Folia Med (Plovdiv)"
"Folia medica Cracoviensia","Folia Med Cracov"
"Folia medica Neerlandica","Folia Med Neerl"
"Folia medica Neerlandica. Additamenta","Additamenta Folia Med Neerl"
"Folia medica. Folia medica (Naples, Italy)","Folia Med (Napoli)"
"Folia mendeliana","Folia Mendeliana"
"Folia microbiologica","Folia Microbiol (Praha)"
"Folia morphologica","Folia Morphol (Warsz)"
"Folia neuropathologica / Association of Polish Neuropathologists and Medical Research Centre, Polish Academy of Sciences","Folia Neuropathol"
"Folia ophthalmologica","Fol Ophthalmol"
"Folia orientalia","Folia Orient"
"Folia parasitologica","Folia Parasitol (Praha)"
"Folia phoniatrica","Folia Phoniatr (Basel)"
"Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP)","Folia Phoniatr Logop"
